D1: Create Web Page,01-11-2017,31-05-2018
D2: Prepare Communications Materials,01-11-2017,31-07-2018
D3: Prepare Launchpad Contents (Courses and Showcases),01-11-2017,31-07-2018
D4: Prepare Workshop Contents,01-03-2018,31-07-2018
